119,128,98
134,130,106
208,192,173
166,153,129
114,118,76
122,133,92
121,125,100
199,203,178
170,173,150
117,117,96
153,146,128
151,145,125
160,170,149
153,167,150
193,183,175
219,196,190
144,137,120
127,137,117
187,190,174
189,180,168
178,166,155
177,167,155
152,148,134
160,159,143
189,178,166
198,182,171
178,165,154
184,179,166
162,163,144
117,112,95
55,59,46
128,137,123
196,181,172
127,109,95
120,107,94
211,196,186
230,215,205
178,163,152
166,147,137
174,160,149
142,143,127
176,175,160
67,71,57
21,35,20
50,80,60
87,113,92
189,192,178
177,170,157
163,159,143
174,176,157
132,130,110
148,140,126
214,205,193
228,222,208
214,210,196
198,193,179
166,156,144
149,139,131
182,173,164
152,144,135
202,193,184
165,156,149
181,171,158
178,161,144
157,158,134
136,126,109
215,193,182
199,181,164
127,121,92
116,127,87
72,92,51
147,151,121
199,194,173
181,174,161
172,171,161
110,116,96
127,132,110
185,185,172
226,222,212
160,154,140
158,151,132
206,202,186
196,188,174
207,191,180
209,193,182
166,153,140
140,135,120
117,115,100
175,165,153
169,155,144
175,164,152
151,146,133
123,125,106
182,179,160
107,110,96
123,130,116
228,212,202
190,175,159
155,146,132
182,171,160
197,184,173
183,168,157
169,148,140
182,170,158
49,58,39
106,114,95
128,137,120
21,39,22
29,66,44
42,65,46
97,87,78
185,171,161
198,194,180
100,107,86
125,130,109
129,131,114
188,190,174
201,197,182
200,188,177
171,154,143
146,129,119
138,130,120
201,193,184
210,202,192
195,186,177
180,172,163
227,217,209
202,188,182
167,169,146
134,128,113
188,175,167
208,198,185
137,132,114
90,98,70
54,72,34
81,91,61
160,162,139
150,146,128
142,135,120
94,97,75
159,156,136
152,137,129
147,144,133
105,111,91
139,138,116
220,201,189
207,176,169
177,138,133
224,188,182
216,188,178
171,158,144
139,137,122
189,184,170
150,143,130
162,155,141
191,185,172
149,153,132
166,167,145
197,197,183
182,185,172
144,128,116
155,142,124
197,193,177
185,179,166
145,136,123
173,158,147
190,169,161
143,129,117
118,122,105
79,82,65
161,163,149
105,112,99
4,26,9
30,49,33
106,103,93
183,170,162
217,210,198
160,160,145
193,189,173
161,156,141
78,77,62
156,146,134
183,160,152
181,158,149
194,181,170
202,193,184
185,174,166
189,178,169
164,154,145
160,148,139
156,154,143
146,147,135
143,148,122
113,114,95
140,138,126
222,221,209
183,186,167
175,175,158
209,212,205
149,163,142
86,102,74
132,131,103
162,136,110
195,172,151
197,186,168
139,122,111
146,125,116
174,164,148
105,115,87
122,115,96
137,125,109
96,83,67
132,118,102
191,170,156
187,170,156
